,detail_url,limit,price
0,https://www.lancers.jp/work/detail/2034166,あと 2 日,"54,000"
1,https://www.lancers.jp/work/detail/2017469,あと 2 時間,"91,800"
2,https://www.lancers.jp/work/detail/2044183,あと 4 日,"1,000,000"
3,https://www.lancers.jp/work/detail/2044179,あと 20 日,"10,000"
4,https://www.lancers.jp/work/detail/2044172,あと 2 日,"50,000"
5,https://www.lancers.jp/work/detail/2044171,あと 2 日,102
6,https://www.lancers.jp/work/detail/2044151,,"5,000"
7,https://www.lancers.jp/work/detail/2044148,あと 4 日,"10,000"
8,https://www.lancers.jp/work/detail/2044135,あと 4 日,"50,000"
9,https://www.lancers.jp/work/detail/2044132,あと 4 日,"20,000"
10,https://www.lancers.jp/work/detail/2044131,あと 1 日,"5,000"
11,https://www.lancers.jp/work/detail/2044123,,"200,000"
12,https://www.lancers.jp/work/detail/2044106,あと 13 日,302
13,https://www.lancers.jp/work/detail/2044105,あと 4 日,"50,000"
14,https://www.lancers.jp/work/detail/2044095,あと 23 時間,54
15,https://www.lancers.jp/work/detail/2044090,あと 2 日,"300,000"
16,https://www.lancers.jp/work/detail/2044088,あと 2 日,"5,000"
17,https://www.lancers.jp/work/detail/2036846,,"37,800"
18,https://www.lancers.jp/work/detail/2043137,あと 9 日,"21,600"
19,https://www.lancers.jp/work/detail/2044087,あと 2 日,756
20,https://www.lancers.jp/work/detail/2044085,あと 4 日,"20,000"
21,https://www.lancers.jp/work/detail/2044084,あと 6 日,"5,000"
22,https://www.lancers.jp/work/detail/2044083,あと 23 時間,432
23,https://www.lancers.jp/work/detail/2044081,あと 22 時間,432
24,https://www.lancers.jp/work/detail/2044080,あと 6 日,"20,000"
25,https://www.lancers.jp/work/detail/2044074,あと 3 日,108
26,https://www.lancers.jp/work/detail/2044071,あと 2 日,162
27,https://www.lancers.jp/work/detail/2044070,あと 4 日,540
28,https://www.lancers.jp/work/detail/2044069,あと 4 日,"5,000"
29,https://www.lancers.jp/work/detail/2044068,あと 3 日,300
30,https://www.lancers.jp/work/detail/2044067,あと 4 日,"5,000"
31,https://www.lancers.jp/work/detail/2044064,あと 22 時間,"5,000"
32,https://www.lancers.jp/work/detail/2044062,あと 4 日,"5,000"
33,https://www.lancers.jp/work/detail/2044061,あと 2 日,"300,000"
34,https://www.lancers.jp/work/detail/2043801,あと 13 日,32
35,https://www.lancers.jp/work/detail/2024826,あと 5 日,32
